"ID","X (km)","Y (km)","ServiceTime (min)"
1,3.238,1.508,25
2,5.358,3.656,35
3,0.374,4.336,35
4,4.245,8.268,35
5,6.274,9.477,25
6,9.762,0.465,30
7,1.442,1.177,20
8,1.807,5.816,25
9,5.477,0.627,35
10,6.803,4.275,20
11,4.531,2.997,30
12,2.44,5.744,25
13,7.294,2.879,30
14,4.181,7.571,35
15,0.392,6.682,30
16,8.754,3.137,25
17,5.798,4.562,30
18,4.74,6.641,35
19,6.471,9.93,30
20,3.857,6.686,35
21,1.68,1.17,35
22,1.293,2.476,20
23,0.805,4.491,25
24,8.192,8.639,20
25,3.587,8.841,30
26,1.762,2.319,35
27,5.891,2.627,35
28,3.692,5.663,30
29,5.154,6.175,25
30,8.995,7.799,30
31,3.923,3.989,35
32,0.622,0.673,35
33,3.4,0.525,35
34,1.014,3.636,35
35,6.14,1.485,20
36,3.641,1.228,30
37,4.659,4.838,35
38,3.426,2.647,30
39,0.23,9.509,25
40,5.431,0.27,25
41,8.633,6.961,20
42,1.67,7.719,25
43,3.296,2.23,30
44,8.526,8.06,30
45,2.267,5.176,20
46,0.279,2.794,20
47,9.565,4.472,30
48,9.55,3.646,35
49,1.967,2.043,25
50,8.404,4.794,25
51,5,5,0
