DataFile;1-2-75-6-11-13-5.txt
Class;1
DataSet;2
n;75
r;6
N_l;11
N_u;13
Rep;5
1;31.47;44.74
2;95.26;57.78
3;75.36;64.55
4;23.34;33.04
5;61.87;12.58
6;60.17;53.7
7;86.97;74.57
8;37.82;79.97
9;79.52;86.56
10;88;72.31
11;97.59;51.53
12;48.56;55.72
13;52.84;45.81
14;89.13;14.81
15;61.25;6.89
16;58.54;56.57
17;91.55;14.96
18;81.23;67.53
19;50.7;73.92
20;5.11;98.53
21;46;75.54
22;87.07;54.87
23;30.46;44.38
24;1.05;21.84
25;60.82;49.26
26;26.69;45.51
27;45.56;37.55
28;45.46;43.98
29;11.79;68.18
30;43.03;61.66
31;30.11;64.96
32;41.25;9.08
33;29.02;67.55
34;33.05;32.43
35;28.51;27.86
36;96.54;29.79
37;72.5;79.22
38;61.93;31.95
39;95.71;23.3
40;18.6;38.18
41;71.69;94.56
42;15.57;53.65
43;31.49;82.41
44;69.55;63.41
45;28.78;40.75
46;31.47;74.95
47;92.96;85.06
48;94.46;90.73
49;23.24;65.27
50;48.47;51.01
51;83.93;42.69
52;3.1;58.28
53;33.09;68.48
54;82.54;90.72
55;64.92;83.88
56;38.14;47.64
57;15.76;48.22
58;79.1;74.92
59;92.78;21.65
60;1.42;17.43
61;34.26;66.89
62;97.39;64.1
63;68.61;77.95
64;41.99;46.09
65;12.11;90.13
66;35.57;66.77
67;77.63;18.56
68;57.84;25.26
69;32.46;66.08
70;17.86;67.85
71;45.71;38.87
72;11.44;67.73
73;99.63;27.87
74;94.21;99.17
75;75.12;40.47
